l-1,theta_l-1,theta_l,k,c,w_l-1
0,0,15,2.3,7.76,0.0416
1,15,30,2.3,7.88,0.0416
2,30,45,2.3,7.53,0.0416
3,45,60,2.3,7.46,0.0416
4,60,75,2.3,7.53,0.0416
5,75,90,2.3,7.79,0.0416
6,90,105,2.3,8.53,0.0416
7,105,120,2.3,9.52,0.0416
8,120,135,2.3,9.71,0.0416
9,135,150,2.3,9.74,0.0416
10,150,165,2.3,9.62,0.0416
11,165,180,2.3,9.78,0.0416
12,180,195,2.3,10.59,0.0416
13,195,210,2.3,10.59,0.0416
14,210,225,2.3,10.59,0.0416
15,225,240,2.3,10.59,0.0416
16,240,255,2.3,10.59,0.0416
17,255,270,2.3,10.59,0.0416
18,270,285,2.3,10.59,0.0416
19,285,300,2.3,10.59,0.0416
20,300,315,2.3,9.72,0.0416
21,315,330,2.3,9.51,0.0416
22,330,345,2.3,8.51,0.0416
23,345,360,2.3,8.04,0.0416
